Premier,2021-2022,masculino
Arsenal,24.4,52.8,38,60,41,67,4,60.5,734,1655,1.58,1.08,1.59
Aston Villa,26.1,46.5,38,50,42,81,2,44.0,653,1300,1.32,1.11,1.16
Brentford,25.4,44.8,38,46,33,65,3,45.8,450,1189,1.21,0.87,1.21
Brighton,26.2,54.4,38,40,30,72,2,46.2,676,1547,1.05,0.79,1.21
Burnley,28.5,40.2,38,32,26,68,2,39.7,388,972,0.84,0.68,1.05
Chelsea,27.4,61.8,38,75,52,63,1,63.4,894,1967,1.97,1.37,1.67
Crystal Palace,27.1,51.1,38,50,31,69,1,46.4,592,1229,1.32,0.82,1.22
Everton,26.7,40.0,38,42,29,82,6,41.2,512,1100,1.11,0.76,1.09
Leeds United,26.1,52.3,38,42,26,101,3,44.4,671,1483,1.11,0.68,1.17
Leicester City,26.5,52.0,38,62,46,55,1,47.8,622,1356,1.63,1.21,1.26
Liverpool,27.7,62.7,38,94,71,50,1,88.7,885,2243,2.47,1.87,2.33
Manchester City,27.0,67.9,38,96,63,42,1,88.7,1145,2421,2.53,1.66,2.33
Manchester Utd,27.2,52.7,38,56,46,77,2,55.8,784,1568,1.47,1.21,1.47
Newcastle Utd,27.5,40.4,38,41,23,81,2,38.1,544,923,1.08,0.61,1.00
Norwich City,26.2,42.9,38,21,16,57,1,32.3,566,1031,0.55,0.42,0.85
Southampton,25.7,47.7,38,41,26,65,2,44.8,728,1326,1.08,0.68,1.18
Tottenham,26.5,51.8,38,63,50,69,1,61.2,791,1459,1.66,1.32,1.61
Watford,28.4,40.7,38,33,26,63,3,40.0,557,1070,0.87,0.68,1.05
West Ham,28.2,47.9,38,58,46,52,3,51.4,646,1449,1.53,1.21,1.35
Wolves,27.3,49.5,38,35,22,62,2,37.5,723,1283,0.92,0.58,0.99
